Gene Symbol,WM_1,WM_2,WM_3,W3_1,W3_2,W3_3,W12_1,W12_2,W12_3,W24_1,W24_2,W24_3
CIR1,17.73163374,20.22572407,20.33666748,21.32849127,15.32649097,17.20019152,22.72166625,16.11528934,22.91601805,19.85673807,17.20223934,23.42334759
SCRN3,4.505476627,5.661455286,4.632725464,5.318850772,6.128461677,5.769439019,5.404912591,5.654398711,5.043778399,4.440044089,3.70968476,5.56993232
GPR155,0.363513806,0.555797203,0.59728129,0.258588526,0.429494926,0.394542334,0.265538653,0.670237218,0.289047092,0.216615395,0.730254159,0.330112549
WIPF1,0.593458242,0.457631348,0.628451764,0.578964186,0.670690475,1.092193623,1.074345634,0.880939833,0.615504566,0.762627418,0.732365496,1.058125402
CHRNA1,0,0.177878001,0,0,0,0,0,0.036983366,0,0,0,0
CHN1,0.189374288,0.057909052,0.073213317,0.23093649,0.037291246,0,0.029642926,0.117391124,0.034749344,0.180554952,0.220894526,0.19007624
ATF2,5.851907536,6.081673907,7.214318822,3.38347256,3.502705562,5.489750267,8.545103047,8.273669532,5.676868188,6.457253071,6.014449783,6.654006949
ATP5MC3,93.06189797,110.422896,122.9248355,127.5482773,128.8509672,119.578944,104.2569122,80.28961147,130.5351343,115.5845796,87.42964615,88.81290666
LNPK,3.45716029,3.976222668,4.119398816,3.058105962,3.793388809,2.536971656,4.175757917,4.192617082,3.020375879,3.960308201,4.052646919,4.409605633
EVX2,0.037329669,0.034245289,0,0,0.029403566,0,0,0.064080742,0,0,0,0.096346384
HOXD13,0,0,0.162474732,0.15374803,0,0,0,0.020039536,0,0,0,0
HOXD12,0,0,0,0,0,0,0,0,0,0,0,0
HOXD11,0,0,0,0,0,0,0,0,0,0,0,0
HOXD10,0,0,0,0,0,0,0,0.066699197,0,0,0,0
HOXD9,0,0,0,0,0,0,0,0,0,0,0,0
HOXD8,0,0,0,0,0,0,0,0.102446314,0,0,0.069612444,0
HOXD3,0,0,0,0,0,0,0,0,0,0,0,0
AC009336.2,0,0,0,0,0,0,0,0,0,0,0,0
HOXD4,0,0,0,0,0,0,0,0,0,0,0,0
HOXD1,0,0,0,0,0,0,0,0,0,0,0,0
MTX2,36.68840072,38.72860949,47.63906758,39.28021892,61.68362978,51.32468413,47.97404591,38.56180887,37.42510423,40.4467411,37.89193437,41.39059169
HNRNPA3,100.9178266,107.1325888,110.9988157,116.2922611,120.7153536,115.6626293,127.8395481,109.7399917,106.9275244,93.54010241,78.59801069,92.76187681
NFE2L2,16.15150627,16.87522953,16.80019707,13.76660736,13.80725368,15.22602811,19.59311145,17.71067282,15.87557694,14.59870137,15.35040543,15.00168308
AGPS,11.51566775,10.84514302,10.23019929,8.643503311,9.222214495,9.385356769,12.34395918,12.92329872,9.489565215,9.823868583,10.04366631,10.65998315
TTC30B,0.663988589,0.627041725,0.543604779,0.800188901,1.322896962,1.487960872,0.788681152,1.050416886,1.225556682,0.754093355,0.728946437,0.840062757
TTC30A,0.722118233,0.819032681,0.776615622,0.758919147,0.806651773,1.744213883,0.6658719,0.991680319,0.93958446,0.525754869,0.58196003,1.016595443
PDE11A,0.012821492,0.058810554,0,0,0.010099141,0.012524309,0.030104394,0.029346121,0.028232245,0.018336575,0,0.011030586
RBM45,3.345203382,3.053761358,3.043005013,2.555611069,3.409904024,3.299702528,2.956956228,4.447570524,2.491427728,2.861092118,3.156023615,2.680439374
OSBPL6,1.700646564,2.048845306,1.71895607,1.149384542,1.533223431,0.960710241,1.654953257,2.215898786,1.549026283,1.387019969,1.306539388,1.38671352
PRKRA,10.66944639,9.696573964,11.61275882,13.2101327,16.05546622,15.74988272,12.15183209,11.85714053,9.81820187,12.72518983,11.65587156,10.68616101
PJVK,0.455613141,0.417967909,0.576467898,0.727340206,0.750373107,0.768727409,0.116701414,0.521408827,0.273609803,0.473885253,0.241566941,0.338522227
FKBP7,0.713166354,0.77106937,0.85668495,0.577719871,0.481492941,0.696636226,0.31097643,0.699561972,0.841261311,0.728521647,0.891287897,0.657376382
PLEKHA3,1.597376058,1.166229067,1.269301647,1.419512567,1.502015076,0.820669182,1.261440902,1.204998331,1.350949609,1.351714862,1.366813089,1.217332793
TTN,0.061980064,0.081659108,0.052767143,0.060305508,0.053494269,0.095323744,0.095366577,0.116205591,0.049363953,0.070723718,0.079218266,0.092463813
CCDC141,0.050788747,0.083866149,0.094249229,0.014864499,0.108013275,0.019844616,0.076320075,0.185994292,0.111834125,0.254223208,0.16587826,0.078650237
SESTD1,8.004505256,7.685555306,7.848722093,6.812653924,7.513648771,7.278801986,9.465308339,9.840755749,7.815796187,6.633276572,7.224335134,8.396932451
ZNF385B,0,0,0.068539247,0.086477235,0.02327367,0,0.111001872,0,0,0,0.06893074,0.127101021
CWC22,17.51162389,17.19054777,14.80846714,15.78307095,14.74149643,15.63030378,19.97094492,20.8372587,15.51221067,16.16730679,20.78420453,21.66441484
UBE2E3,25.09395637,22.00387668,26.74794241,28.40037612,39.78106666,31.65207584,31.15123051,25.72825632,23.70585522,27.39711879,24.93087841,25.97016292
ITGA4,0,0,0,0,0,0,0,0,0.043725855,0,0,0
CERKL,0,0,0,0,0,0,0,0,0,0,0,0
NEUROD1,0,0,0,0,0,0,0,0,0,0,0,0
ITPRID2,7.016300582,5.925855607,5.830235006,7.278241125,7.757805024,8.205214415,7.650710209,8.216920689,6.012153296,5.971414122,7.372395149,7.304090552
PPP1R1C,0.609992912,0.883566293,1.117076119,1.127548475,1.365560091,0.815379418,0.814115941,1.148162469,0.72460595,0.895334768,0.748971209,0.635271031
PDE1A,0.124087787,0.068300988,0.086351645,0.163427201,0.097740579,0.048484647,0.046616572,0.113605973,0.136617359,0.212956027,0.173689764,0.170808331
DNAJC10,4.020318136,3.655178397,4.796185629,3.609305714,3.16669539,3.572673444,4.433809269,4.868152499,3.516486406,3.190814708,3.863893929,4.089311621
FRZB,0.099238835,0.500715509,0.230198229,0.03630567,0.312670938,0,0.04660183,0.085177533,0.300463137,0.070962893,0,0.170754312
NCKAP1,10.18922177,11.47884443,10.27429024,8.69400051,11.65314832,10.13339676,11.94151191,15.13294612,8.847887388,9.116872576,10.63366091,10.23148541
DUSP19,0.145923175,0.200799315,0.101546707,0.181508091,0.137927665,0.114032716,0.246688034,0.133596904,0.160657542,0.02086911,0.119147861,0.150648754
NUP35,7.755640032,7.239336418,10.59177837,6.852161342,8.124846287,7.689514057,10.05189717,8.154496173,9.478016705,8.568322064,6.671809055,8.12356466
ZNF804A,0,0,0,0,0,0,0,0,0,0,0,0
FSIP2,0.093494184,0.098021928,0.046472725,0.078180662,0.065752526,0.026093466,0.106624447,0.156672423,0.051467308,0.066855055,0.124635134,0.13214308
ZC3H15,69.66208944,73.78578704,76.74838409,79.20180123,80.4773722,78.07675903,84.19274445,70.94547113,73.62826673,67.60261251,67.61162626,68.39771614
